CustomerID,LastInvoiceDate,Recency,Frequency,Monetary,Weekend_Ratio,Night_Shopper,Basket_Diversity,Return_Rate
12346,2011-01-18 10:01:00,326.0,12.0,77556.46,0.0,0.0,27.0,0.29411764705882354
12347,2011-12-07 15:52:00,2.0,8.0,5633.32,0.125,0.0,126.0,0.0
12348,2011-09-25 13:13:00,75.0,5.0,2019.3999999999999,0.2,0.0,25.0,0.0
12349,2011-11-21 09:51:00,19.0,4.0,4428.69,0.0,0.0,138.0,0.2
12350,2011-02-02 16:01:00,310.0,1.0,334.4,0.0,0.0,17.0,0.0
12351,2010-11-29 15:23:00,375.0,1.0,300.93,0.0,0.0,21.0,0.0
12352,2011-11-03 14:37:00,36.0,10.0,2849.84,0.0,0.0,70.0,0.23076923076923078
12353,2011-05-19 17:47:00,204.0,2.0,406.76,0.0,0.0,23.0,0.0
12354,2011-04-21 13:11:00,232.0,1.0,1079.4,0.0,0.0,58.0,0.0
12355,2011-05-09 13:49:00,214.0,2.0,947.61,0.0,0.0,35.0,0.0
12356,2011-11-17 08:40:00,23.0,6.0,6373.68,0.0,0.0,104.0,0.0
12357,2011-11-06 16:07:00,33.0,3.0,18287.66,0.3333333333333333,0.0,261.0,0.0
12358,2011-12-08 10:26:00,2.0,5.0,3887.07,0.0,0.0,56.0,0.0
12359,2011-10-13 12:47:00,58.0,10.0,8935.939999999999,0.2,0.0,305.0,0.2857142857142857
12360,2011-10-18 15:22:00,52.0,8.0,4252.889999999999,0.0,0.0,160.0,0.1111111111111111
12361,2011-02-25 13:51:00,287.0,4.0,511.25,0.25,0.0,18.0,0.0
12362,2011-12-06 15:40:00,3.0,11.0,5356.23,0.0,0.0,201.0,0.21428571428571427
12363,2011-08-22 10:18:00,110.0,2.0,552.0,0.0,0.0,23.0,0.0
12364,2011-12-02 10:22:00,8.0,4.0,1313.1,0.25,0.0,70.0,0.0
12365,2011-02-21 14:04:00,291.0,2.0,641.38,0.0,0.0,22.0,0.3333333333333333
12366,2010-03-16 10:28:00,634.0,1.0,500.24,0.0,0.0,3.0,0.0
12367,2011-12-05 16:48:00,4.0,1.0,168.9,0.0,0.0,11.0,0.0
12368,2010-03-21 15:56:00,628.0,1.0,917.6999999999999,1.0,0.0,18.0,0.0
12369,2010-10-22 13:13:00,413.0,3.0,1791.1499999999999,0.0,0.0,90.0,0.0
12370,2011-10-19 14:51:00,51.0,7.0,4320.3099999999995,0.0,0.0,168.0,0.0
12371,2011-10-26 10:16:00,45.0,5.0,4067.38,0.0,0.0,134.0,0.0
12372,2011-09-29 12:12:00,72.0,3.0,1298.04,0.0,0.0,34.0,0.0
12373,2011-02-01 13:10:00,311.0,3.0,1127.65,0.0,0.0,36.0,0.0
12374,2011-11-14 15:37:00,25.0,4.0,2989.2200000000003,0.0,0.0,79.0,0.0
12375,2011-11-29 10:36:00,11.0,2.0,457.5,0.0,0.0,14.0,0.3333333333333333
12376,2010-11-15 12:15:00,390.0,2.0,503.15,0.0,0.0,11.0,0.0
12377,2011-01-28 15:45:00,315.0,4.0,3426.32,0.0,0.0,129.0,0.0
12378,2011-08-02 10:34:00,130.0,2.0,5416.32,0.0,0.0,281.0,0.0
12379,2011-09-19 10:09:00,82.0,4.0,1620.22,0.0,0.0,58.0,0.2
12380,2011-11-18 11:27:00,22.0,11.0,9676.300000000001,0.0,0.0,156.0,0.26666666666666666
12381,2011-12-05 12:44:00,5.0,5.0,1845.31,0.2,0.0,70.0,0.16666666666666666
12383,2011-06-08 08:02:00,185.0,5.0,1850.56,0.0,0.0,84.0,0.16666666666666666
12384,2011-11-11 08:39:00,29.0,2.0,585.27,0.0,0.0,26.0,0.3333333333333333
12385,2010-11-25 15:14:00,379.0,1.0,1938.4,0.0,0.0,65.0,0.5
12386,2011-01-06 12:37:00,338.0,2.0,660.8,0.0,0.0,10.0,0.0
12387,2010-10-20 16:27:00,415.0,1.0,143.94,0.0,0.0,9.0,0.0
12388,2011-11-24 12:30:00,16.0,8.0,3901.11,0.125,0.0,83.0,0.0
12389,2010-11-02 11:52:00,403.0,3.0,1433.33,0.0,0.0,41.0,0.0
12390,2011-09-21 09:33:00,80.0,1.0,549.84,0.0,0.0,32.0,0.0
12391,2011-11-18 12:07:00,22.0,6.0,2773.42,0.0,0.0,241.0,0.14285714285714285
12392,2010-04-27 14:04:00,591.0,1.0,234.75000000000003,0.0,0.0,7.0,0.0
12393,2011-09-28 15:41:00,72.0,6.0,2399.45,0.0,0.0,63.0,0.14285714285714285
12394,2011-10-07 08:08:00,64.0,2.0,1272.48,0.0,0.0,26.0,0.0
12395,2011-11-20 15:21:00,19.0,15.0,5067.27,0.06666666666666667,0.0,145.0,0.16666666666666666
12396,2010-02-03 13:22:00,674.0,1.0,931.43,0.0,0.0,65.0,0.0
12397,2011-11-04 09:52:00,36.0,2.0,2409.8999999999996,0.0,0.0,110.0,0.0
12398,2011-10-25 10:27:00,46.0,1.0,1635.6599999999999,0.0,0.0,85.0,0.0
12399,2011-08-12 13:15:00,119.0,7.0,1962.3000000000002,0.0,0.0,67.0,0.0
12400,2010-10-21 13:45:00,414.0,1.0,205.25,0.0,0.0,11.0,0.0
12401,2011-02-09 13:50:00,303.0,1.0,84.3,0.0,0.0,5.0,0.0
12402,2011-01-20 13:49:00,323.0,6.0,1256.9,0.3333333333333333,0.0,43.0,0.14285714285714285
12403,2011-10-21 10:51:00,50.0,2.0,1019.3600000000001,0.0,0.0,5.0,0.3333333333333333
12404,2010-01-26 16:25:00,682.0,1.0,63.24,0.0,0.0,1.0,0.0
12405,2011-07-14 08:52:00,149.0,1.0,1710.39,0.0,0.0,54.0,0.0
12406,2011-11-17 19:22:00,22.0,5.0,6390.360000000001,0.0,0.0,114.0,0.2857142857142857
12407,2011-10-21 10:11:00,50.0,5.0,1708.12,0.2,0.0,57.0,0.0
12408,2011-11-07 12:27:00,33.0,8.0,4340.7699999999995,0.0,0.0,104.0,0.42857142857142855
12409,2011-09-22 10:38:00,79.0,7.0,23419.29,0.14285714285714285,0.0,177.0,0.46153846153846156
12410,2011-02-04 10:39:00,309.0,3.0,1013.7099999999999,0.3333333333333333,0.0,36.0,0.25
12411,2010-10-26 09:25:00,410.0,1.0,346.9,0.0,0.0,22.0,0.0
